Taxon,Species,Trait,Value,Source
Birds,Pernis apivorus,Hand-Wing.Index,37.9,AVONET
Birds,Pernis apivorus,Tail.Length,253.2,AVONET
Birds,Pernis apivorus,Mass,754.4,AVONET
Birds,Pernis apivorus,Migration,3,AVONET
Birds,Pernis apivorus,Trophic.Level,Carnivore,AVONET
Birds,Pernis apivorus,Trophic.Niche,Invertivore,AVONET
Birds,Pernis apivorus,Primary.Lifestyle,Insessorial,AVONET
Birds,Phalacrocorax carbo,Beak.Length_Culmen,82.7,AVONET
Birds,Phalacrocorax carbo,Beak.Length_Nares,57.0,AVONET
Birds,Phalacrocorax carbo,Beak.Width,13.2,AVONET
Birds,Phalacrocorax carbo,Beak.Depth,18.3,AVONET
Birds,Phalacrocorax carbo,Tarsus.Length,64.2,AVONET
Birds,Phalacrocorax carbo,Wing.Length,340.2,AVONET
Birds,Phalacrocorax carbo,Kipps.Distance,124.2,AVONET
Birds,Phalacrocorax carbo,Secondary1,211.7,AVONET
Birds,Phalacrocorax carbo,Hand-Wing.Index,37.1,AVONET
Birds,Phalacrocorax carbo,Tail.Length,148.2,AVONET
Birds,Phalacrocorax carbo,Mass,2529.0,AVONET
Birds,Phalacrocorax carbo,Migration,2,AVONET
Birds,Phalacrocorax carbo,Trophic.Level,Carnivore,AVONET
Birds,Phalacrocorax carbo,Trophic.Niche,Aquatic predator,AVONET
Birds,Phalacrocorax carbo,Primary.Lifestyle,Aquatic,AVONET
Birds,Phasianus colchicus,Beak.Length_Culmen,35.4,AVONET
Birds,Phasianus colchicus,Beak.Length_Nares,22.0,AVONET
Birds,Phasianus colchicus,Beak.Width,12.9,AVONET
Birds,Phasianus colchicus,Beak.Depth,11.4,AVONET
Birds,Phasianus colchicus,Tarsus.Length,63.3,AVONET
Birds,Phasianus colchicus,Wing.Length,237.7,AVONET
Birds,Phasianus colchicus,Kipps.Distance,61.3,AVONET
Birds,Phasianus colchicus,Secondary1,175.8,AVONET
Birds,Phasianus colchicus,Hand-Wing.Index,25.8,AVONET
Birds,Phasianus colchicus,Tail.Length,449.8,AVONET
Birds,Phasianus colchicus,Mass,1120.3,AVONET
Birds,Phasianus colchicus,Migration,1,AVONET
Birds,Phasianus colchicus,Trophic.Level,Herbivore,AVONET
Birds,Phasianus colchicus,Trophic.Niche,Omnivore,AVONET
Birds,Phasianus colchicus,Primary.Lifestyle,Terrestrial,AVONET
Birds,Phoenicurus phoenicurus,Beak.Length_Culmen,13.9,AVONET
Birds,Phoenicurus phoenicurus,Beak.Length_Nares,7.8,AVONET
Birds,Phoenicurus phoenicurus,Beak.Width,3.3,AVONET
Birds,Phoenicurus phoenicurus,Beak.Depth,3.4,AVONET
Birds,Phoenicurus phoenicurus,Tarsus.Length,21.6,AVONET
Birds,Phoenicurus phoenicurus,Wing.Length,77.9,AVONET
Birds,Phoenicurus phoenicurus,Kipps.Distance,20.2,AVONET
Birds,Phoenicurus phoenicurus,Secondary1,58.1,AVONET
Birds,Phoenicurus phoenicurus,Hand-Wing.Index,25.8,AVONET
Birds,Phoenicurus phoenicurus,Tail.Length,58.0,AVONET
Birds,Phoenicurus phoenicurus,Mass,14.6,AVONET
Birds,Phoenicurus phoenicurus,Migration,3,AVONET
Birds,Phoenicurus phoenicurus,Trophic.Level,Carnivore,AVONET
Birds,Phoenicurus phoenicurus,Trophic.Niche,Invertivore,AVONET
Birds,Phoenicurus phoenicurus,Primary.Lifestyle,Insessorial,AVONET
Birds,Phylloscopus bonelli,Beak.Length_Culmen,11.5,AVONET
Birds,Phylloscopus bonelli,Beak.Length_Nares,6.7,AVONET
Birds,Phylloscopus bonelli,Beak.Width,2.6,AVONET
Birds,Phylloscopus bonelli,Beak.Depth,2.3,AVONET
Birds,Phylloscopus bonelli,Tarsus.Length,18.2,AVONET
Birds,Phylloscopus bonelli,Wing.Length,63.5,AVONET
Birds,Phylloscopus bonelli,Kipps.Distance,14.7,AVONET
Birds,Phylloscopus bonelli,Secondary1,48.9,AVONET
Birds,Phylloscopus bonelli,Hand-Wing.Index,23.1,AVONET
Birds,Phylloscopus bonelli,Tail.Length,49.8,AVONET
Birds,Phylloscopus bonelli,Mass,8.7,AVONET
Birds,Phylloscopus bonelli,Migration,3,AVONET
Birds,Phylloscopus bonelli,Trophic.Level,Carnivore,AVONET
Birds,Phylloscopus bonelli,Trophic.Niche,Invertivore,AVONET
Birds,Phylloscopus bonelli,Primary.Lifestyle,Insessorial,AVONET
Birds,Phylloscopus collybita,Beak.Length_Culmen,11.6,AVONET
Birds,Phylloscopus collybita,Beak.Length_Nares,6.0,AVONET
Birds,Phylloscopus collybita,Beak.Width,2.3,AVONET
Birds,Phylloscopus collybita,Beak.Depth,2.2,AVONET
Birds,Phylloscopus collybita,Tarsus.Length,19.7,AVONET
Birds,Phylloscopus collybita,Wing.Length,58.8,AVONET
Birds,Phylloscopus collybita,Kipps.Distance,10.8,AVONET
Birds,Phylloscopus collybita,Secondary1,47.7,AVONET
Birds,Phylloscopus collybita,Hand-Wing.Index,18.4,AVONET
Birds,Phylloscopus collybita,Tail.Length,48.5,AVONET
Birds,Phylloscopus collybita,Mass,8.3,AVONET
Birds,Phylloscopus collybita,Migration,3,AVONET
Birds,Phylloscopus collybita,Trophic.Level,Carnivore,AVONET
Birds,Phylloscopus collybita,Trophic.Niche,Invertivore,AVONET
Birds,Phylloscopus collybita,Primary.Lifestyle,Insessorial,AVONET
Birds,Phylloscopus ibericus,Beak.Length_Culmen,12.4,AVONET
Birds,Phylloscopus ibericus,Beak.Length_Nares,6.2,AVONET
Birds,Phylloscopus ibericus,Beak.Width,2.4,AVONET
Birds,Phylloscopus ibericus,Beak.Depth,2.3,AVONET
Birds,Phylloscopus ibericus,Tarsus.Length,19.2,AVONET
Birds,Phylloscopus ibericus,Wing.Length,58.8,AVONET
Birds,Phylloscopus ibericus,Kipps.Distance,12.0,AVONET
Birds,Phylloscopus ibericus,Secondary1,46.6,AVONET
Birds,Phylloscopus ibericus,Hand-Wing.Index,20.4,AVONET
Birds,Phylloscopus ibericus,Tail.Length,46.8,AVONET
Birds,Phylloscopus ibericus,Mass,8.3,AVONET
Birds,Phylloscopus ibericus,Migration,3,AVONET
Birds,Phylloscopus ibericus,Trophic.Level,Carnivore,AVONET
Birds,Phylloscopus ibericus,Trophic.Niche,Invertivore,AVONET
Birds,Phylloscopus ibericus,Primary.Lifestyle,Insessorial,AVONET
Birds,Phylloscopus orientalis,Beak.Length_Culmen,12.1,AVONET
Birds,Phylloscopus orientalis,Beak.Length_Nares,6.2,AVONET
Birds,Phylloscopus orientalis,Beak.Width,2.4,AVONET
Birds,Phylloscopus orientalis,Beak.Depth,2.4,AVONET
Birds,Phylloscopus orientalis,Tarsus.Length,17.6,AVONET
Birds,Phylloscopus orientalis,Wing.Length,66.7,AVONET
Birds,Phylloscopus orientalis,Kipps.Distance,15.7,AVONET
Birds,Phylloscopus orientalis,Secondary1,51.7,AVONET
Birds,Phylloscopus orientalis,Hand-Wing.Index,23.3,AVONET
Birds,Phylloscopus orientalis,Tail.Length,51.4,AVONET
Birds,Phylloscopus orientalis,Mass,8.5,AVONET
Birds,Phylloscopus orientalis,Migration,3,AVONET
Birds,Phylloscopus orientalis,Trophic.Level,Carnivore,AVONET
Birds,Phylloscopus orientalis,Trophic.Niche,Invertivore,AVONET
Birds,Phylloscopus orientalis,Primary.Lifestyle,Insessorial,AVONET
Birds,Phylloscopus sibilatrix,Beak.Length_Culmen,13.2,AVONET
Birds,Phylloscopus sibilatrix,Beak.Length_Nares,6.7,AVONET
Birds,Phylloscopus sibilatrix,Beak.Width,2.8,AVONET
Birds,Phylloscopus sibilatrix,Beak.Depth,2.8,AVONET
Birds,Phylloscopus sibilatrix,Tarsus.Length,18.0,AVONET
Birds,Phylloscopus sibilatrix,Wing.Length,75.8,AVONET
Birds,Phylloscopus sibilatrix,Kipps.Distance,23.3,AVONET
Birds,Phylloscopus sibilatrix,Secondary1,52.3,AVONET
Birds,Phylloscopus sibilatrix,Hand-Wing.Index,30.9,AVONET
Birds,Phylloscopus sibilatrix,Tail.Length,50.7,AVONET
Birds,Phylloscopus sibilatrix,Mass,9.2,AVONET
Birds,Phylloscopus sibilatrix,Migration,3,AVONET
Birds,Phylloscopus sibilatrix,Trophic.Level,Carnivore,AVONET
Birds,Phylloscopus sibilatrix,Trophic.Niche,Invertivore,AVONET
Birds,Phylloscopus sibilatrix,Primary.Lifestyle,Insessorial,AVONET
Birds,Phylloscopus trochilus,Beak.Length_Culmen,12.8,AVONET
Birds,Phylloscopus trochilus,Beak.Length_Nares,6.6,AVONET
Birds,Phylloscopus trochilus,Beak.Width,2.6,AVONET
Birds,Phylloscopus trochilus,Beak.Depth,2.6,AVONET
Birds,Phylloscopus trochilus,Tarsus.Length,19.3,AVONET
Birds,Phylloscopus trochilus,Wing.Length,65.9,AVONET
Birds,Phylloscopus trochilus,Kipps.Distance,17.1,AVONET
Birds,Phylloscopus trochilus,Secondary1,48.8,AVONET
Birds,Phylloscopus trochilus,Hand-Wing.Index,25.9,AVONET
Birds,Phylloscopus trochilus,Tail.Length,52.3,AVONET
Birds,Phylloscopus trochilus,Mass,8.7,AVONET
Birds,Phylloscopus trochilus,Migration,3,AVONET
Birds,Phylloscopus trochilus,Trophic.Level,Carnivore,AVONET
Birds,Phylloscopus trochilus,Trophic.Niche,Invertivore,AVONET
Birds,Phylloscopus trochilus,Primary.Lifestyle,Insessorial,AVONET
Birds,Pica pica,Beak.Length_Culmen,40.8,AVONET
Birds,Pica pica,Beak.Length_Nares,26.1,AVONET
Birds,Pica pica,Beak.Width,12.4,AVONET
Birds,Pica pica,Beak.Depth,13.7,AVONET
Birds,Pica pica,Tarsus.Length,49.1,AVONET
Birds,Pica pica,Wing.Length,194.5,AVONET
Birds,Pica pica,Kipps.Distance,44.6,AVONET
Birds,Pica pica,Secondary1,149.9,AVONET
Birds,Pica pica,Hand-Wing.Index,22.9,AVONET
Birds,Pica pica,Tail.Length,237.4,AVONET
Birds,Pica pica,Mass,217.5,AVONET
Birds,Pica pica,Migration,1,AVONET
Birds,Pica pica,Trophic.Level,Omnivore,AVONET
Birds,Pica pica,Trophic.Niche,Omnivore,AVONET
Birds,Pica pica,Primary.Lifestyle,Terrestrial,AVONET
Birds,Picoides tridactylus,Beak.Length_Culmen,29.7,AVONET
Birds,Picoides tridactylus,Beak.Length_Nares,22.4,AVONET
Birds,Picoides tridactylus,Beak.Width,9.0,AVONET
Birds,Picoides tridactylus,Beak.Depth,7.3,AVONET
Birds,Picoides tridactylus,Tarsus.Length,19.8,AVONET
Birds,Picoides tridactylus,Wing.Length,120.9,AVONET
Birds,Picoides tridactylus,Kipps.Distance,35.9,AVONET
Birds,Picoides tridactylus,Secondary1,86.0,AVONET
Birds,Picoides tridactylus,Hand-Wing.Index,29.4,AVONET
Birds,Picoides tridactylus,Tail.Length,81.3,AVONET
Birds,Picoides tridactylus,Mass,65.5,AVONET
Birds,Picoides tridactylus,Migration,1,AVONET
Birds,Picoides tridactylus,Trophic.Level,Carnivore,AVONET
Birds,Picoides tridactylus,Trophic.Niche,Invertivore,AVONET
Birds,Picoides tridactylus,Primary.Lifestyle,Insessorial,AVONET
Birds,Picus canus,Beak.Length_Culmen,38.3,AVONET
Birds,Picus canus,Beak.Length_Nares,24.9,AVONET
Birds,Picus canus,Beak.Width,7.9,AVONET
Birds,Picus canus,Beak.Depth,7.1,AVONET
Birds,Picus canus,Tarsus.Length,24.8,AVONET
Birds,Picus canus,Wing.Length,146.6,AVONET
Birds,Picus canus,Kipps.Distance,37.9,AVONET
Birds,Picus canus,Secondary1,109.1,AVONET
Birds,Picus canus,Hand-Wing.Index,25.8,AVONET
Birds,Picus canus,Tail.Length,106.7,AVONET
Birds,Picus canus,Mass,137.0,AVONET
Birds,Picus canus,Migration,1,AVONET
Birds,Picus canus,Trophic.Level,Carnivore,AVONET
Birds,Picus canus,Trophic.Niche,Invertivore,AVONET
Birds,Picus canus,Primary.Lifestyle,Insessorial,AVONET
Birds,Picus sharpei,Beak.Length_Culmen,41.1,AVONET
Birds,Picus sharpei,Beak.Length_Nares,30.3,AVONET
Birds,Picus sharpei,Beak.Width,9.2,AVONET
Birds,Picus sharpei,Beak.Depth,8.4,AVONET
Birds,Picus sharpei,Tarsus.Length,30.6,AVONET
Birds,Picus sharpei,Wing.Length,155.8,AVONET
Birds,Picus sharpei,Kipps.Distance,41.4,AVONET
Birds,Picus sharpei,Secondary1,114.3,AVONET
Birds,Picus sharpei,Hand-Wing.Index,26.6,AVONET
Birds,Picus sharpei,Tail.Length,91.3,AVONET
Birds,Picus sharpei,Mass,176.0,AVONET
Birds,Picus sharpei,Migration,1,AVONET
Birds,Picus sharpei,Trophic.Level,Carnivore,AVONET
Birds,Picus sharpei,Trophic.Niche,Invertivore,AVONET
Birds,Picus sharpei,Primary.Lifestyle,Terrestrial,AVONET
Birds,Picus viridis,Beak.Length_Culmen,45.0,AVONET
Birds,Picus viridis,Beak.Length_Nares,35.1,AVONET
Birds,Picus viridis,Beak.Width,11.5,AVONET
Birds,Picus viridis,Beak.Depth,9.8,AVONET
Birds,Picus viridis,Tarsus.Length,29.0,AVONET
Birds,Picus viridis,Wing.Length,165.4,AVONET
Birds,Picus viridis,Kipps.Distance,41.0,AVONET
Birds,Picus viridis,Secondary1,125.0,AVONET
Birds,Picus viridis,Hand-Wing.Index,24.7,AVONET
Birds,Picus viridis,Tail.Length,103.0,AVONET
Birds,Picus viridis,Mass,176.0,AVONET
Birds,Picus viridis,Migration,1,AVONET
Birds,Picus viridis,Trophic.Level,Carnivore,AVONET
Birds,Picus viridis,Trophic.Niche,Invertivore,AVONET
Birds,Picus viridis,Primary.Lifestyle,Terrestrial,AVONET
Birds,Platalea leucorodia,Beak.Length_Culmen,190.3,AVONET
Birds,Platalea leucorodia,Beak.Length_Nares,172.2,AVONET
Birds,Platalea leucorodia,Beak.Width,26.3,AVONET
Birds,Platalea leucorodia,Beak.Depth,15.2,AVONET
Birds,Platalea leucorodia,Tarsus.Length,129.0,AVONET
Birds,Platalea leucorodia,Wing.Length,361.6,AVONET
Birds,Platalea leucorodia,Kipps.Distance,146.0,AVONET
Birds,Platalea leucorodia,Secondary1,216.0,AVONET
Birds,Platalea leucorodia,Hand-Wing.Index,40.4,AVONET
Birds,Platalea leucorodia,Tail.Length,118.4,AVONET
Birds,Platalea leucorodia,Mass,1868.0,AVONET
Birds,Platalea leucorodia,Migration,2,AVONET
Birds,Platalea leucorodia,Trophic.Level,Carnivore,AVONET
Birds,Platalea leucorodia,Trophic.Niche,Aquatic predator,AVONET
Birds,Platalea leucorodia,Primary.Lifestyle,Terrestrial,AVONET
Birds,Plegadis falcinellus,Beak.Length_Culmen,117.2,AVONET
Birds,Plegadis falcinellus,Beak.Length_Nares,102.8,AVONET
Birds,Plegadis falcinellus,Beak.Width,10.4,AVONET
Birds,Plegadis falcinellus,Beak.Depth,13.9,AVONET
Birds,Plegadis falcinellus,Tarsus.Length,86.4,AVONET
Birds,Plegadis falcinellus,Wing.Length,274.8,AVONET
Birds,Plegadis falcinellus,Kipps.Distance,104.7,AVONET
Birds,Plegadis falcinellus,Secondary1,165.3,AVONET
Birds,Plegadis falcinellus,Hand-Wing.Index,38.9,AVONET
Birds,Plegadis falcinellus,Tail.Length,102.7,AVONET
Birds,Plegadis falcinellus,Mass,626.6,AVONET
Birds,Plegadis falcinellus,Migration,2,AVONET
Birds,Plegadis falcinellus,Trophic.Level,Carnivore,AVONET
Birds,Plegadis falcinellus,Trophic.Niche,Aquatic predator,AVONET
Birds,Plegadis falcinellus,Primary.Lifestyle,Terrestrial,AVONET
Birds,Poecile lugubris,Beak.Length_Culmen,12.8,AVONET
Birds,Poecile lugubris,Beak.Length_Nares,8.6,AVONET
Birds,Poecile lugubris,Beak.Width,5.1,AVONET
Birds,Poecile lugubris,Beak.Depth,5.3,AVONET
Birds,Poecile lugubris,Tarsus.Length,19.4,AVONET
Birds,Poecile lugubris,Wing.Length,74.6,AVONET
Birds,Poecile lugubris,Kipps.Distance,11.4,AVONET
Birds,Poecile lugubris,Secondary1,63.4,AVONET
Birds,Poecile lugubris,Hand-Wing.Index,15.3,AVONET
Birds,Poecile lugubris,Tail.Length,64.4,AVONET
Birds,Poecile lugubris,Mass,15.8,AVONET
Birds,Poecile lugubris,Migration,1,AVONET
Birds,Poecile lugubris,Trophic.Level,Carnivore,AVONET
Birds,Poecile lugubris,Trophic.Niche,Invertivore,AVONET
Birds,Poecile lugubris,Primary.Lifestyle,Insessorial,AVONET
Birds,Poecile montanus,Beak.Length_Culmen,11.0,AVONET
Birds,Poecile montanus,Beak.Length_Nares,7.1,AVONET
Birds,Poecile montanus,Beak.Width,3.4,AVONET
Birds,Poecile montanus,Beak.Depth,4.0,AVONET
Birds,Poecile montanus,Tarsus.Length,16.2,AVONET
Birds,Poecile montanus,Wing.Length,65.5,AVONET
Birds,Poecile montanus,Kipps.Distance,11.6,AVONET
Birds,Poecile montanus,Secondary1,53.9,AVONET
Birds,Poecile montanus,Hand-Wing.Index,17.7,AVONET
Birds,Poecile montanus,Tail.Length,59.3,AVONET
Birds,Poecile montanus,Mass,11.1,AVONET
Birds,Poecile montanus,Migration,1,AVONET
Birds,Poecile montanus,Trophic.Level,Omnivore,AVONET
Birds,Poecile montanus,Trophic.Niche,Invertivore,AVONET
Birds,Poecile montanus,Primary.Lifestyle,Insessorial,AVONET
Birds,Poecile palustris,Beak.Length_Culmen,9.4,AVONET
Birds,Poecile palustris,Beak.Length_Nares,6.7,AVONET
Birds,Poecile palustris,Beak.Width,3.3,AVONET
Birds,Poecile palustris,Beak.Depth,4.1,AVONET
Birds,Poecile palustris,Tarsus.Length,15.9,AVONET
Birds,Poecile palustris,Wing.Length,64.0,AVONET
Birds,Poecile palustris,Kipps.Distance,11.4,AVONET
Birds,Poecile palustris,Secondary1,52.5,AVONET
Birds,Poecile palustris,Hand-Wing.Index,17.9,AVONET
Birds,Poecile palustris,Tail.Length,54.8,AVONET
Birds,Poecile palustris,Mass,11.1,AVONET
Birds,Poecile palustris,Migration,1,AVONET
Birds,Poecile palustris,Trophic.Level,Omnivore,AVONET
Birds,Poecile palustris,Trophic.Niche,Invertivore,AVONET
Birds,Poecile palustris,Primary.Lifestyle,Insessorial,AVONET
Birds,Prunella modularis,Beak.Length_Culmen,14.0,AVONET
Birds,Prunella modularis,Beak.Length_Nares,7.8,AVONET
Birds,Prunella modularis,Beak.Width,3.7,AVONET
Birds,Prunella modularis,Beak.Depth,3.6,AVONET
Birds,Prunella modularis,Tarsus.Length,20.4,AVONET
Birds,Prunella modularis,Wing.Length,69.1,AVONET
Birds,Prunella modularis,Kipps.Distance,14.7,AVONET
Birds,Prunella modularis,Secondary1,54.5,AVONET
Birds,Prunella modularis,Hand-Wing.Index,21.2,AVONET
Birds,Prunella modularis,Tail.Length,59.6,AVONET
Birds,Prunella modularis,Mass,20.2,AVONET
Birds,Prunella modularis,Migration,1,AVONET
Birds,Prunella modularis,Trophic.Level,Omnivore,AVONET
Birds,Prunella modularis,Trophic.Niche,Invertivore,AVONET
Birds,Prunella modularis,Primary.Lifestyle,Terrestrial,AVONET
Birds,Pyrrhula pyrrhula,Beak.Length_Culmen,13.1,AVONET
Birds,Pyrrhula pyrrhula,Beak.Length_Nares,8.6,AVONET
Birds,Pyrrhula pyrrhula,Beak.Width,8.2,AVONET
Birds,Pyrrhula pyrrhula,Beak.Depth,9.0,AVONET
Birds,Pyrrhula pyrrhula,Tarsus.Length,18.0,AVONET
Birds,Pyrrhula pyrrhula,Wing.Length,88.6,AVONET
Birds,Pyrrhula pyrrhula,Kipps.Distance,22.1,AVONET
Birds,Pyrrhula pyrrhula,Secondary1,66.7,AVONET
Birds,Pyrrhula pyrrhula,Hand-Wing.Index,24.9,AVONET
Birds,Pyrrhula pyrrhula,Tail.Length,68.3,AVONET
Birds,Pyrrhula pyrrhula,Mass,24.3,AVONET
Birds,Pyrrhula pyrrhula,Migration,1,AVONET
Birds,Pyrrhula pyrrhula,Trophic.Level,Herbivore,AVONET
Birds,Pyrrhula pyrrhula,Trophic.Niche,Omnivore,AVONET
Birds,Pyrrhula pyrrhula,Primary.Lifestyle,Insessorial,AVONET
Birds,Regulus ignicapilla,Beak.Length_Culmen,10.9,AVONET
Birds,Regulus ignicapilla,Beak.Length_Nares,6.0,AVONET
Birds,Regulus ignicapilla,Beak.Width,2.0,AVONET
Birds,Regulus ignicapilla,Beak.Depth,2.1,AVONET
Birds,Regulus ignicapilla,Tarsus.Length,16.5,AVONET
Birds,Regulus ignicapilla,Wing.Length,52.3,AVONET
Birds,Regulus ignicapilla,Kipps.Distance,11.5,AVONET
Birds,Regulus ignicapilla,Secondary1,40.7,AVONET
Birds,Regulus ignicapilla,Hand-Wing.Index,22.0,AVONET
Birds,Regulus ignicapilla,Tail.Length,39.4,AVONET
Birds,Regulus ignicapilla,Mass,5.6,AVONET
Birds,Regulus ignicapilla,Migration,3,AVONET
Birds,Regulus ignicapilla,Trophic.Level,Carnivore,AVONET
Birds,Regulus ignicapilla,Trophic.Niche,Invertivore,AVONET
Birds,Regulus ignicapilla,Primary.Lifestyle,Insessorial,AVONET
Birds,Regulus regulus,Beak.Length_Culmen,10.6,AVONET
Birds,Regulus regulus,Beak.Length_Nares,5.7,AVONET
Birds,Regulus regulus,Beak.Width,2.2,AVONET
Birds,Regulus regulus,Beak.Depth,2.1,AVONET
Birds,Regulus regulus,Tarsus.Length,15.0,AVONET
Birds,Regulus regulus,Wing.Length,52.9,AVONET
Birds,Regulus regulus,Kipps.Distance,11.6,AVONET
Birds,Regulus regulus,Secondary1,41.2,AVONET
Birds,Regulus regulus,Hand-Wing.Index,22.0,AVONET
Birds,Regulus regulus,Tail.Length,39.3,AVONET
Birds,Regulus regulus,Mass,5.5,AVONET
Birds,Regulus regulus,Migration,3,AVONET
Birds,Regulus regulus,Trophic.Level,Carnivore,AVONET
Birds,Regulus regulus,Trophic.Niche,Invertivore,AVONET
Birds,Regulus regulus,Primary.Lifestyle,Insessorial,AVONET
Birds,Remiz pendulinus,Beak.Length_Culmen,10.6,AVONET
Birds,Remiz pendulinus,Beak.Length_Nares,7.5,AVONET
Birds,Remiz pendulinus,Beak.Width,3.1,AVONET
Birds,Remiz pendulinus,Beak.Depth,3.9,AVONET
Birds,Remiz pendulinus,Tarsus.Length,13.7,AVONET
Birds,Remiz pendulinus,Wing.Length,56.1,AVONET
Birds,Remiz pendulinus,Kipps.Distance,10.9,AVONET
Birds,Remiz pendulinus,Secondary1,45.2,AVONET
Birds,Remiz pendulinus,Hand-Wing.Index,19.4,AVONET
Birds,Remiz pendulinus,Tail.Length,48.5,AVONET
Birds,Remiz pendulinus,Mass,9.3,AVONET
Birds,Remiz pendulinus,Migration,3,AVONET
Birds,Remiz pendulinus,Trophic.Level,Omnivore,AVONET
Birds,Remiz pendulinus,Trophic.Niche,Invertivore,AVONET
Birds,Remiz pendulinus,Primary.Lifestyle,Insessorial,AVONET
Birds,Scolopax rusticola,Beak.Length_Culmen,76.7,AVONET
Birds,Scolopax rusticola,Beak.Length_Nares,60.9,AVONET
Birds,Scolopax rusticola,Beak.Width,6.5,AVONET
Birds,Scolopax rusticola,Beak.Depth,10.0,AVONET
Birds,Scolopax rusticola,Tarsus.Length,34.2,AVONET
Birds,Scolopax rusticola,Wing.Length,192.4,AVONET
Birds,Scolopax rusticola,Kipps.Distance,75.1,AVONET
Birds,Scolopax rusticola,Secondary1,115.6,AVONET
Birds,Scolopax rusticola,Hand-Wing.Index,39.4,AVONET
Birds,Scolopax rusticola,Tail.Length,84.8,AVONET
Birds,Scolopax rusticola,Mass,308.3,AVONET
Birds,Scolopax rusticola,Migration,3,AVONET
Birds,Scolopax rusticola,Trophic.Level,Carnivore,AVONET
Birds,Scolopax rusticola,Trophic.Niche,Omnivore,AVONET
Birds,Scolopax rusticola,Primary.Lifestyle,Terrestrial,AVONET
Birds,Serinus serinus,Beak.Length_Culmen,9.2,AVONET
Birds,Serinus serinus,Beak.Length_Nares,5.8,AVONET
Birds,Serinus serinus,Beak.Width,4.6,AVONET
Birds,Serinus serinus,Beak.Depth,5.2,AVONET
Birds,Serinus serinus,Tarsus.Length,13.9,AVONET
Birds,Serinus serinus,Wing.Length,70.8,AVONET
Birds,Serinus serinus,Kipps.Distance,20.8,AVONET
Birds,Serinus serinus,Secondary1,50.1,AVONET
Birds,Serinus serinus,Hand-Wing.Index,29.3,AVONET
Birds,Serinus serinus,Tail.Length,46.4,AVONET
Birds,Serinus serinus,Mass,11.2,AVONET
Birds,Serinus serinus,Migration,2,AVONET
Birds,Serinus serinus,Trophic.Level,Herbivore,AVONET
Birds,Serinus serinus,Trophic.Niche,Granivore,AVONET
Birds,Serinus serinus,Primary.Lifestyle,Generalist,AVONET
Birds,Sitta europaea,Beak.Length_Culmen,20.9,AVONET
Birds,Sitta europaea,Beak.Length_Nares,13.6,AVONET
Birds,Sitta europaea,Beak.Width,4.8,AVONET
Birds,Sitta europaea,Beak.Depth,4.6,AVONET
Birds,Sitta europaea,Tarsus.Length,20.2,AVONET
Birds,Sitta europaea,Wing.Length,85.4,AVONET
Birds,Sitta europaea,Kipps.Distance,20.3,AVONET
Birds,Sitta europaea,Secondary1,65.0,AVONET
Birds,Sitta europaea,Hand-Wing.Index,23.8,AVONET
Birds,Sitta europaea,Tail.Length,46.8,AVONET
Birds,Sitta europaea,Mass,20.4,AVONET
Birds,Sitta europaea,Migration,1,AVONET
Birds,Sitta europaea,Trophic.Level,Carnivore,AVONET
Birds,Sitta europaea,Trophic.Niche,Invertivore,AVONET
Birds,Sitta europaea,Primary.Lifestyle,Insessorial,AVONET
Birds,Sitta krueperi,Beak.Length_Culmen,17.3,AVONET
Birds,Sitta krueperi,Beak.Length_Nares,12.4,AVONET
Birds,Sitta krueperi,Beak.Width,4.0,AVONET
Birds,Sitta krueperi,Beak.Depth,3.7,AVONET
Birds,Sitta krueperi,Tarsus.Length,17.0,AVONET
Birds,Sitta krueperi,Wing.Length,71.2,AVONET
Birds,Sitta krueperi,Kipps.Distance,16.4,AVONET
Birds,Sitta krueperi,Secondary1,53.9,AVONET
Birds,Sitta krueperi,Hand-Wing.Index,23.3,AVONET
Birds,Sitta krueperi,Tail.Length,43.0,AVONET
Birds,Sitta krueperi,Mass,12.4,AVONET
Birds,Sitta krueperi,Migration,1,AVONET
Birds,Sitta krueperi,Trophic.Level,Omnivore,AVONET
Birds,Sitta krueperi,Trophic.Niche,Omnivore,AVONET
Birds,Sitta krueperi,Primary.Lifestyle,Insessorial,AVONET
Birds,Sitta whiteheadi,Beak.Length_Culmen,16.7,AVONET
Birds,Sitta whiteheadi,Beak.Length_Nares,11.8,AVONET
Birds,Sitta whiteheadi,Beak.Width,3.4,AVONET
Birds,Sitta whiteheadi,Beak.Depth,3.6,AVONET
Birds,Sitta whiteheadi,Tarsus.Length,17.2,AVONET
Birds,Sitta whiteheadi,Wing.Length,70.7,AVONET
Birds,Sitta whiteheadi,Kipps.Distance,15.7,AVONET
Birds,Sitta whiteheadi,Secondary1,54.7,AVONET
Birds,Sitta whiteheadi,Hand-Wing.Index,22.3,AVONET
Birds,Sitta whiteheadi,Tail.Length,43.1,AVONET
Birds,Sitta whiteheadi,Mass,11.8,AVONET
Birds,Sitta whiteheadi,Migration,1,AVONET
Birds,Sitta whiteheadi,Trophic.Level,Omnivore,AVONET
Birds,Sitta whiteheadi,Trophic.Niche,Omnivore,AVONET
Birds,Sitta whiteheadi,Primary.Lifestyle,Insessorial,AVONET
Birds,Spinus spinus,Beak.Length_Culmen,12.8,AVONET
Birds,Spinus spinus,Beak.Length_Nares,8.3,AVONET
